标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
三环内 90平小三房 中间楼层 双地铁 锦艺、西元国际,金水世纪城   ,3室2厅,86.52平米,南,34,未知, 五龙口 ,110,12714
三环内 地铁口 不临高架  三室朝南 适合老人居住,和昌澜景   ,3室1厅,88.93平米,南,34,未知, 儿童公园 ,115,12932
万达旁 精装修两室，拎包 入住，随时看房,阳光城丽景公馆北苑   ,2室2厅,76平米,东北,31,未知, 中原万达 ,107,14079
锦艺旁，金水路，洋房社区，精装修，拎包入住,正商金域世家   ,2室2厅,89.84平米,南 北,34,未知, 五龙口 ,115,12801
正商百合里 纯南两室 精装修 诚心出售,百合里   ,2室2厅,87.86平米,南,28,未知, 五龙口 ,102,11610
三环内新小区，人车分离　朝南小三室　好楼层，诚心卖,金水世纪城   ,3室2厅,88.21平米,南 北,34,未知, 五龙口 ,108,12244
正商百合里 纯南两室 精装修 诚心出售,百合里   ,2室2厅,87.86平米,南,28,未知, 五龙口 ,102,11610
三环内 地铁口 不临高架  三室朝南 适合老人居住,和昌澜景   ,3室1厅,88.93平米,南,34,未知, 儿童公园 ,115,12932
业主诚心出售，精装修，楼层好， 前面无遮挡,紫韵景园   ,3室2厅,88.55平米,南 北,30,未知, 中原万达 ,106,11971
精装修  落地窗  三开间朝南  中间楼层  诚心出,城开绿城绿园   ,3室1厅,89.63平米,南,32,未知, 五龙口 ,117,13054
正商2房纯边户，好楼层，两梯两户 电梯小高层 采光好,花语里   ,2室2厅,89.36平米,北 南,18,未知, 五龙口 ,106,11863
西三环，万达商圈，成熟配套，业主诚心出售,景悦城2号院   ,3室2厅,89.39平米,东南,34,未知, 中原万达 ,110,12306
全明户型绿化好人车分流出行方便,景悦城2号院   ,3室2厅,89.4平米,南 北,34,未知, 中原万达 ,109,12193
观澜小区纯南小三房，全明户型，好楼层，诚意出售,工人路187号   ,3室1厅,89.79平米,北 南,32,未知, 电力新村 ,105,11694
正商金域世家 精装修两房 景观楼层采光好  诚心出售,正商金域世家   ,2室1厅,88.67平米,南,34,未知, 五龙口 ,120,13534
锦艺三期年代新，满五唯一，新装修未入住，随时看房,惠众西城一品   ,2室2厅,88.22平米,西南 南,31,未知, 热电厂 ,104,11789
《精选》地铁口 不临高架 婚房精装+地暖  诚心出售,和昌澜景   ,3室1厅,89.73平米,南,32,未知, 儿童公园 ,110,12259
2023年新小区中间楼层采光好楼下底商出行方便！,景悦城2号院   ,3室2厅,89.45平米,南,34,未知, 中原万达 ,106,11851
新天地，纯南小三房，地梯口，好楼层，精装修拎包入住,中原新城新天地小区   ,3室1厅,88.09平米,南,31,未知, 电力新村 ,107,12147
《贝壳优选》三环内 次新小区 南北通透 精装 近地铁,和昌湾景国际   ,3室1厅,88.25平米,南 北,34,未知, 儿童公园 ,110,12465
双地铁 南向无遮挡 可看鸟巢 视野开阔,华瑞紫韵星园   ,3室2厅,89.22平米,东南,30,未知, 中原万达 ,105,11769
新小区 人车分流 东南户 小三房 全明户型 采光好 满二,景悦城2号院   ,3室2厅,89.87平米,南,34,未知, 中原万达 ,103,11461
2023年新小区，采光好，出行方便，万达商圈,景悦城2号院   ,3室2厅,89.18平米,南,34,未知, 中原万达 ,120,13456
中原万达旁 三环内2020年双气精装人车分流 经典小三房,阳光城丽景公馆南苑   ,3室2厅,89.05平米,南,34,未知, 中原万达 ,120,13476
新小区，人车分流，近万达，出行方便,汇泉景悦城1号院   ,3室2厅,89.11平米,东南 西南,34,未知, 中原万达 ,109,12233
户型方正，中间楼层采光好，6号地铁口，出行方便。,盛世卧龙城北院   ,2室2厅,88.82平米,南,34,未知, 儿童公园 ,118,13286
二环旁次新小区业主诚心卖 看房方便. 中间楼层采光好,城开绿城绿园B区   ,3室2厅,88.78平米,东 南 北,32,未知, 五龙口 ,107,12053
保利心语一期，低总价小三房，随时可看,保利心语一期   ,3室1厅,85.37平米,南,34,未知, 中原万达 ,103,12066
业主急售  改善小区  次新现房精装修  可拎包入住,阳光城丽景公馆南苑   ,3室2厅,89.35平米,南,34,未知, 中原万达 ,120,13431
地铁口，三环边主城区新小区，万达旁,汇泉景悦城1号院   ,3室2厅,88.56平米,南,34,未知, 中原万达 ,110,12421
三环内 地铁口 次新小区精装三房,和昌澜景   ,3室1厅,85.95平米,南,34,未知, 儿童公园 ,120,13962
中原新城新天地，二环内，地铁5号线旁，纯南大两房,中原新城新天地小区   ,2室1厅,84.89平米,东南,31,未知, 电力新村 ,120,14136
朝南精装2房 带车位 带露台 双气 非顶楼,全威锦园   ,2室2厅,86.42平米,南,18,未知, 月季公园 ,100,11572
房子精装修，满五不唯一，室内光线好，格局好,万达广场东西区   ,2室2厅,89.07平米,南,33,未知, 中原万达 ,116,13024
汝河路段，近万达，和昌澜景，精装小三房，次新小区，,和昌澜景   ,3室1厅,89.88平米,南 北,33,未知, 儿童公园 ,109,12128
全明户型 精装修 绿化好 人车分流 年代新 万达商圈,阳光城丽景公馆南苑   ,2室2厅,78.39平米,东,11,未知, 中原万达 ,100,12757
地铁10号线小区中间位置，满五小区人车分流，成熟社区,万达广场东西区   ,2室1厅,84.77平米,南,33,未知, 中原万达 ,108,12741
人车分流，地铁口，满五唯一，诚心出售,永威西苑   ,3室1厅,89.7平米,西南,15,未知, 儿童公园 ,108,12041
全明户型 精装修 绿化好 人车分流 年代新 万达商圈,阳光城丽景公馆南苑   ,2室2厅,78.39平米,东,11,未知, 中原万达 ,100,12757
升龙天汇7号院 精装未住3房 采光充足 看房有钥匙,升龙天汇七号院   ,3室1厅,88.48平米,南,33,未知, 月季公园 ,108,12207
汝河路段，近万达，和昌澜景，精装小三房，次新小区，,和昌澜景   ,3室1厅,89.88平米,南 北,33,未知, 儿童公园 ,109,12128
业主急售  改善小区  次新现房精装修  可拎包入住,阳光城丽景公馆南苑   ,3室2厅,89.35平米,南,34,未知, 中原万达 ,120,13431
三环内 地铁口 次新小区精装三房,和昌澜景   ,3室1厅,85.95平米,南,34,未知, 儿童公园 ,120,13962
房子精装修，满五不唯一，室内光线好，格局好,万达广场东西区   ,2室2厅,89.07平米,南,33,未知, 中原万达 ,116,13024
地铁口，三环边主城区新小区，万达旁,汇泉景悦城1号院   ,3室2厅,88.56平米,南,34,未知, 中原万达 ,110,12421
中原新城新天地，二环内，地铁5号线旁，纯南大两房,中原新城新天地小区   ,2室1厅,84.89平米,东南,31,未知, 电力新村 ,120,14136
户型方正，两卧室朝南，有落地阳台，采光好，拎包入住,保利心语一期   ,2室1厅,82.64平米,南,34,未知, 中原万达 ,110,13311
西三环，万达商圈，成熟配套，业主诚心出售,景悦城2号院   ,3室2厅,89.39平米,东南,34,未知, 中原万达 ,110,12306
朝南精装2房 带车位 带露台 双气 非顶楼,全威锦园   ,2室2厅,86.42平米,南,18,未知, 月季公园 ,100,11572
一层带院 73 可商贷 地铁五号线 停车方便,万福花园   ,2室2厅,84.87平米,南 北,7,未知, 儿童公园 ,103,12137
08年双气小区，永威物业，双地铁，多层小区，环境优美,永威鑫城   ,2室2厅,89.63平米,南 北,6,未知, 儿童公园 ,120,13389
金域世家   次新房小区  绿化好   通透两房  毛坯,正商金域世家   ,2室2厅,89.96平米,南 北,29,未知, 五龙口 ,115,12784
和昌湾景，三环内，地铁口，次新小区，业主诚心卖房。,和昌湾景国际   ,3室2厅,87.92平米,南,34,未知, 儿童公园 ,110,12512
满五唯一，完全人车分流的小区，保利物业,保利百合   ,3室2厅,89.3平米,南 北,34,未知, 热电厂 ,115,12878
三环内精装修两室，全屋定制，亚新一级物业,郑地璞园   ,2室2厅,89.9平米,南,33,未知, 五龙口 ,116,12904
万达旁 三环边 新小区 地铁口业主很诚心,景悦城2号院   ,3室2厅,89.26平米,南 北,34,未知, 中原万达 ,120,13444
西三环次新小区新装修 万达旁 西流湖公园 人车分流,景悦城2号院   ,3室2厅,89.38平米,东南,34,未知, 中原万达 ,114,12755
三环边次新房小区，人车分流，全明户型,汇泉景悦城1号院   ,3室2厅,88.73平米,南,34,未知, 中原万达 ,108,12172
户型方正，装修好，楼层好，采光充足。,盛世卧龙城北院   ,2室1厅,88.82平米,南,34,未知, 儿童公园 ,109,12273
保利物业，精装两居室，拎包即可入住,保利心语一期   ,2室1厅,86.62平米,东北,33,未知, 中原万达 ,116,13392
小区少见大六房，唯一住房，户型方正，业主诚心卖。,乾宏领秀   ,6室1厅,86.38平米,南,14,未知, 帝湖 ,103,11925
地铁口 华瑞通透小三房 满两年 看房有钥匙,紫韵丽园   ,3室2厅,89.29平米,南,34,未知, 中原万达 ,105,11760
三环边，万达旁，业主诚心出售，近地铁,景悦城2号院   ,3室2厅,89.67平米,南,34,未知, 中原万达 ,109,12156
好楼层，诚心出售，房型方正，可以谈,领创天誉华庭   ,2室1厅,78.18平米,南,27,未知, 五龙口 ,110,14071
双地铁 小区人车分流 小高层社区 经典户型 双气,70年代尚景小区   ,2室1厅,85.46平米,南,15,未知, 儿童公园 ,105,12287
永威品质 酒店式入户大堂 下沉式庭院 随时看房,永威泰和璟苑   ,3室2厅,88.94平米,南 北,34,未知, 常西湖 ,105,11806
永威西苑4号楼不临路，品质物业，安静不吵，诚意出售,永威西苑   ,3室2厅,89.7平米,南,15,未知, 儿童公园 ,112,12487
汇泉1期 三室精装一天未住 好楼层 不临高架 出入方便,汇泉城一号院   ,3室1厅,87.92平米,南,24,未知, 常西湖 ,117,13308
一层带院 73 可商贷 地铁五号线 停车方便,万福花园   ,2室2厅,84.87平米,南 北,7,未知, 儿童公园 ,103,12137
金域世家   次新房小区  绿化好   通透两房  毛坯,正商金域世家   ,2室2厅,89.96平米,南 北,29,未知, 五龙口 ,115,12784
三环边次新房小区，人车分流，全明户型,汇泉景悦城1号院   ,3室2厅,88.73平米,南,34,未知, 中原万达 ,108,12172
户型方正，装修好，楼层好，采光充足。,盛世卧龙城北院   ,2室1厅,88.82平米,南,34,未知, 儿童公园 ,109,12273
中原万达小区，电梯精装双气两房，人车分流,万达广场东西区   ,2室1厅,79.65平米,南 东,33,未知, 中原万达 ,105,13183
三环边，万达旁，业主诚心出售，近地铁,景悦城2号院   ,3室2厅,89.67平米,南,34,未知, 中原万达 ,109,12156
地铁口 华瑞通透小三房 满两年 看房有钥匙,紫韵丽园   ,3室2厅,89.29平米,南,34,未知, 中原万达 ,105,11760
公园旁地铁口南北通透大两室，业主急卖,公园壹号   ,2室1厅,86.06平米,南 北,33,未知, 儿童公园 ,100,11620
好楼层，诚心出售，房型方正，可以谈,领创天誉华庭   ,2室1厅,78.18平米,南,27,未知, 五龙口 ,110,14071
双地铁 小区人车分流 小高层社区 经典户型 双气,70年代尚景小区   ,2室1厅,85.46平米,南,15,未知, 儿童公园 ,105,12287
业主诚心出售，精装修，楼层好， 前面无遮挡,紫韵景园   ,3室2厅,88.55平米,南 北,30,未知, 中原万达 ,106,11971
西二环内，凯旋门商圈，陇海西路地铁口，双气，电梯,中原新城新天地小区   ,1室1厅,71.03平米,北,31,未知, 电力新村 ,100,14079
此房满五唯一 格局楼层好视野开,锦艺国际华都（三期）月星家居广场   ,3室1厅,86.07平米,西南,26,未知, 热电厂 ,110,12781
保利物业，地段占优，地铁十号，万达广场，全明户型,保利心语一期   ,2室1厅,76.9平米,北,34,未知, 中原万达 ,109,14175
89小三房人车分流地铁口2020年小区,华瑞紫韵星园   ,3室1厅,89.22平米,南,30,未知, 中原万达 ,102,11433
万达旁，次新小区，全新装修，业主诚心出售，看房方便,阳光城丽景公馆南苑   ,2室2厅,75.69平米,西北,34,未知, 中原万达 ,100,13212
2023年小区，环境优美，出现方便，配套齐全，看房随时,华润琨瑜府   ,2室2厅,84.33平米,南 北,34,未知, 热电厂 ,103,12214
新天地，纯南小三房，地梯口，好楼层，精装修拎包入住,中原新城新天地小区   ,3室1厅,88.09平米,南,31,未知, 电力新村 ,107,12147
正商金域世家 精装修两房 景观楼层采光好  诚心出售,正商金域世家   ,2室1厅,88.67平米,南,34,未知, 五龙口 ,120,13534
全明户型绿化好人车分流出行方便,景悦城2号院   ,3室2厅,89.4平米,南 北,34,未知, 中原万达 ,109,12193
《贝壳优选》三环内 次新小区 南北通透 精装 近地铁,和昌湾景国际   ,3室1厅,88.25平米,南 北,34,未知, 儿童公园 ,110,12465
2023年新小区中间楼层采光好楼下底商出行方便！,景悦城2号院   ,3室2厅,89.45平米,南,34,未知, 中原万达 ,106,11851
满五唯一 拎包入住 好楼层 大阳台 6号线,和昌澜景   ,3室1厅,89.51平米,西南,26,未知, 儿童公园 ,118,13183
不临高架 业主急售 朝南中间楼 20年新楼栋 地铁口,和昌澜景   ,3室1厅,88.71平米,南,23,未知, 儿童公园 ,109,12288
地铁口公园旁 精装两房 客厅朝南带阳台,中原新城王府西院   ,2室1厅,87.63平米,南 北,34,未知, 郑州一中 ,104,11869
采光明亮，户型方正，精装两房，正商好物业，没有个税,正商明钻二期   ,2室2厅,89.9平米,南,21,未知, 五龙口 ,118,13126
万达旁 精装修两室，拎包 入住，随时看房,阳光城丽景公馆北苑   ,2室2厅,76平米,东北,31,未知, 中原万达 ,107,14079
锦艺三期 朝南三房 满五年 楼层好 全天采光 诚心出售,锦艺国际华都博郡   ,3室2厅,88.29平米,东南 南,34,未知, 热电厂 ,110,12459
汇泉1期 三室精装一天未住 好楼层 不临高架 出入方便,汇泉城一号院   ,3室1厅,87.92平米,南,24,未知, 常西湖 ,117,13308
和昌湾景，三环内，地铁口，次新小区，业主诚心卖房。,和昌湾景国际   ,3室2厅,87.92平米,南,34,未知, 儿童公园 ,110,12512
正商颖河港湾  万达旁  小高层  两卧朝南  采光充足,正商颖河港湾   ,2室2厅,88.2平米,南,11,未知, 中原万达 ,102,11565
三环边万达旁，人车分流次新小区，业主诚心卖,景悦城2号院   ,3室2厅,89.39平米,南,34,未知, 中原万达 ,110,12306
正商2房纯边户，好楼层，两梯两户 电梯小高层 采光好,花语里   ,2室2厅,89.36平米,北 南,18,未知, 五龙口 ,106,11863
精装修  落地窗  三开间朝南  中间楼层  诚心出,城开绿城绿园   ,3室1厅,89.63平米,南,32,未知, 五龙口 ,117,13054
18年次新小区  东边户通透性好 中等楼层无遮挡,紫韵景园   ,3室2厅,88.55平米,南,28,未知, 中原万达 ,106,11971
（贝壳优选）朝南三房，不临高架，过户快，业主诚心卖,和昌澜景   ,3室2厅,89.73平米,南,32,未知, 儿童公园 ,102,11368
全明户型 精装修 绿化好 人车分流 年代新 万达商圈,阳光城丽景公馆南苑   ,2室2厅,78.39平米,东,11,未知, 中原万达 ,100,12757
满五唯一 拎包入住 好楼层 大阳台 6号线,和昌澜景   ,3室1厅,89.51平米,西南,26,未知, 儿童公园 ,118,13183
万达旁 三环边 新小区 地铁口业主很诚心,景悦城2号院   ,3室2厅,89.26平米,南 北,34,未知, 中原万达 ,120,13444
永威品质 酒店式入户大堂 下沉式庭院 随时看房,永威泰和璟苑   ,3室2厅,88.94平米,南 北,34,未知, 常西湖 ,105,11806
18年次新小区 双气社区 人车分流 双地铁口,紫韵景园   ,2室2厅,80.73平米,南,30,未知, 中原万达 ,101,12511
户型方正，装修好，楼层好，采光充足。,盛世卧龙城北院   ,2室1厅,88.82平米,南,34,未知, 儿童公园 ,109,12273
二环边，地铁口，少量小高层，朝南舒适大两房！,中原新城王府西院   ,2室1厅,87.99平米,东南,17,未知, 郑州一中 ,106,12047
新小区三房，全明户型，人车分流，视野开阔房主自荐,汇泉景悦城1号院   ,3室2厅,88.75平米,南,34,未知, 中原万达 ,110,12395
地铁口 业主花20多万装修 拎包入住 户型方正,紫韵景园   ,3室2厅,88.55平米,东南,30,未知, 中原万达 ,102,11576
三环内   1号线地铁口    次新小区    看房方便,和润林湖美景   ,2室1厅,79.07平米,东,33,未知, 热电厂 ,105,13280
小区少见大六房，唯一住房，户型方正，业主诚心卖。,乾宏领秀   ,6室1厅,86.38平米,南,14,未知, 帝湖 ,103,11925
保利物业，精装两居室，拎包即可入住,保利心语一期   ,2室1厅,86.62平米,东北,33,未知, 中原万达 ,116,13392
地铁口公园旁 精装两房 客厅朝南带阳台,中原新城王府西院   ,2室1厅,87.63平米,南 北,34,未知, 郑州一中 ,104,11869
业主诚心出售，精装修，楼层好， 前面无遮挡,紫韵景园   ,3室2厅,88.55平米,南 北,30,未知, 中原万达 ,106,11971
双地铁 南向无遮挡 可看鸟巢 视野开阔,华瑞紫韵星园   ,3室2厅,89.22平米,东南,30,未知, 中原万达 ,105,11769
新小区 人车分流 东南户 小三房 全明户型 采光好 满二,景悦城2号院   ,3室2厅,89.87平米,南,34,未知, 中原万达 ,103,11461
2023年新小区，采光好，出行方便，万达商圈,景悦城2号院   ,3室2厅,89.18平米,南,34,未知, 中原万达 ,120,13456
新天地，纯南小三房，地梯口，好楼层，精装修拎包入住,中原新城新天地小区   ,3室1厅,88.09平米,南,31,未知, 电力新村 ,107,12147
2023年新小区中间楼层采光好楼下底商出行方便！,景悦城2号院   ,3室2厅,89.45平米,南,34,未知, 中原万达 ,106,11851
《贝壳优选》三环内 次新小区 南北通透 精装 近地铁,和昌湾景国际   ,3室1厅,88.25平米,南 北,34,未知, 儿童公园 ,110,12465
宏江精装两房 全朝南 采光不错 价格较低,宏江瀚苑   ,2室1厅,76平米,南,34,未知, 碧沙岗 ,105,13816
（贝壳优选）和昌澜景，精装修，两梯四户，好楼层,和昌澜景   ,3室2厅,89.44平米,南,33,未知, 儿童公园 ,116,12970
正商精装大两室 采光好 家具家电齐全 看房方便,百合里   ,2室2厅,89.6平米,南 北,28,未知, 五龙口 ,106,11831
2020年建成 人车分流 朝南大两房 带车位急售,升龙天汇七号院   ,2室2厅,83.86平米,南,33,未知, 月季公园 ,110,13118
2022年新小区 双地铁线 现房税费少 随时看房,华瑞紫韵雅园   ,3室2厅,89.94平米,南,34,未知, 中原万达 ,120,13343
：楼层好 视野开阔 交通便利 配套齐全 低容 积率,九龙城龙栖尚都   ,2室2厅,87.21平米,南,11,未知, 五龙口 ,110,12614
（贝壳优选）朝南三房，采光好，中间楼层，业主着急卖,和昌澜景   ,3室2厅,88.91平米,南,34,未知, 儿童公园 ,110,12373
桐柏路地铁口 两室 12年建 双气 总价低 首付少月供低,公园壹号   ,2室1厅,86.16平米,南,33,未知, 儿童公园 ,109,12651
单元不临高架，两梯四户；6号线，大阳台,和昌澜景   ,3室2厅,89.51平米,南,26,未知, 儿童公园 ,105,11731
金水西路23年交房 次新小区  优质两居室  急售,金水世纪城   ,2室2厅,78.83平米,南,33,未知, 五龙口 ,105,13320
三环内 公园旁 23年交房 毛坯三室 中间楼层 诚心卖,金水世纪城   ,3室1厅,86.82平米,南,33,未知, 五龙口 ,118,13592
伊河路19仲楼层低可商贷公积金贷款,林山寨村   ,2室2厅,77.16平米,南 北,7,未知, 郑州晚报社 ,120,15553
（贝壳精选）附带加宽车位 中原万达旁  精装小三室,保利心语一期   ,3室2厅,85.37平米,南,34,未知, 中原万达 ,120,14057
好楼层，采光视野一级棒；6号线，两梯四户大阳台房主自荐,和昌澜景   ,3室2厅,89.44平米,南,33,未知, 儿童公园 ,110,12299
三环内 地铁口 次新小区 精装三房,和昌湾景国际   ,3室1厅,88.19平米,南,34,未知, 儿童公园 ,110,12474
非顶楼 户型通透 双气两房 双阳台 看房方便,林山寨村   ,2室1厅,77.16平米,南 北,7,未知, 郑州晚报社 ,110,14257
小区中间位置，多层三房，一梯两户,郑州绿都城   ,3室2厅,88.72平米,南 北,6,未知, 中原万达 ,112,12624
三环内 次新小区 精装中间楼层 6号线 随时可看房主自荐,和昌澜景   ,3室2厅,87.81平米,南,34,未知, 儿童公园 ,120,13666
南北通透格局好，双气，楼层好，地铁五六号线,永威鑫城   ,2室2厅,88.92平米,南 北,7,未知, 儿童公园 ,118,13271
房子地铁口5号线，探十里，精装修，业主诚心卖,中原新城新天地小区   ,2室2厅,84.89平米,南,31,未知, 电力新村 ,115,13547
《商圈聚焦》三环内 6号线地铁口 视野开阔 采光霸,和昌湾景国际   ,3室1厅,88.25平米,南 北,34,未知, 儿童公园 ,106,12012
业主诚心卖 南北户型 带大露台 房子看房方便,康桥上城品   ,3室2厅,87.5平米,南 北,27,未知, 儿童公园 ,108,12343
地铁口旁 精装修品牌家居 三房 有钥匙,保利心语一期   ,3室2厅,85.46平米,南,34,未知, 中原万达 ,115,13457
阳光花苑三期 次新房 精装修 拎包入住,阳光花苑   ,2室2厅,89.58平米,西南,21,未知, 中原万达 ,105,11722
（贝壳优选）和昌澜景，精装修，两梯四户，好楼层,和昌澜景   ,3室2厅,89.44平米,南,33,未知, 儿童公园 ,116,12970
万达商圈 电梯小高层 精装婚房两室 纯南户,昆仑华府   ,2室2厅,89.46平米,南,18,未知, 中原万达 ,108,12073
儿童公园地铁口14年次新房，采光好，交通方便配套齐,公园壹号   ,2室1厅,82.75平米,东南,33,未知, 儿童公园 ,110,13294
满五唯一 精装大2房，看房有钥匙,中原新城王府东院   ,2室1厅,84.34平米,南 北,34,未知, 郑州一中 ,102,12094
阳台客厅朝西，一卧朝西，一卧朝北 ，满二,阳光城丽景公馆南苑   ,2室2厅,78.25平米,西,34,未知, 中原万达 ,105,13419
满五唯一 中间楼层 无遮挡 采光好 自住精装修,保利百合   ,2室2厅,87.87平米,南,34,未知, 热电厂 ,106,12064
河医片区 丹尼斯旁 花园社区 人车分流 满五唯 一,宏江瀚苑   ,2室1厅,72.7平米,南 北,34,未知, 碧沙岗 ,103,14168
宏江精装两房 全朝南 采光不错 价格较低,宏江瀚苑   ,2室1厅,76平米,南,34,未知, 碧沙岗 ,105,13816
新小区人车分流 全新毛坯 户型房正，通体阳台，采光好,永威泰和璟苑   ,3室2厅,88.75平米,南,34,未知, 常西湖 ,110,12395
三环内 次新小区 精装中间楼层 6号线 随时可看房主自荐,和昌澜景   ,3室2厅,87.81平米,南,34,未知, 儿童公园 ,120,13666
奥体旁 三开间方正户型 精装修 诚心出售,汇泉城2号院   ,3室2厅,87.84平米,南,27,未知, 常西湖 ,105,11954
非顶楼 户型通透 双气两房 双阳台 看房方便,林山寨村   ,2室1厅,77.16平米,南 北,7,未知, 郑州晚报社 ,110,14257
房子装修保持比较好，离地铁口近，南北通透,中原新城王府东院   ,2室2厅,84.34平米,南 北,34,未知, 郑州一中 ,108,12806
2+1的户型  小区前排 采光日照无遮挡 ，看房效果好,盛润锦绣城东院   ,2室2厅,84.79平米,南,31,未知, 王府井 ,120,14153
房龄4年次新小区，人车分离，低楼层，拎包入住,保利心语一期   ,2室2厅,87.25平米,南,34,未知, 中原万达 ,115,13181
三环内 地铁口 21年新小区 精装从未入住小三房,和昌瑞景园   ,3室2厅,89.94平米,南,34,未知, 儿童公园 ,102,11341
业主诚意出售，家里装修还不错，正常税费,盛润锦绣城东院   ,3室1厅,86.37平米,南,34,未知, 王府井 ,115,13315
北门出去就是地铁站，南门公园已经在施工医院学x现成,紫韵景园   ,3室1厅,88.69平米,南 北,34,未知, 中原万达 ,106,11952
双地铁 三开间朝南  采光好  拎包入住,70年代尚景小区   ,2室1厅,85.46平米,南 北,15,未知, 儿童公园 ,105,12287
《贝壳优选》三环内 6号线地铁口 不临高架 有钥匙,和昌澜景   ,3室2厅,85.71平米,南,34,未知, 儿童公园 ,119,13885
满五唯一万达旁康桥开发.品质小区，小高层，采光好,康桥上城品   ,2室2厅,76.18平米,南,11,未知, 儿童公园 ,100,13127
陇海路桐柏路 前进路 81号院 南北通透带楼台,中原新城王府东院   ,2室1厅,89.11平米,南 北,34,未知, 郑州一中 ,103,11615
品质小区 精装两房 采光好 业主诚心出售,康桥上城品   ,2室1厅,74.36平米,南 北,18,未知, 儿童公园 ,103,13852
三环内，精装三房，满五唯一，诚心出售。,和昌澜景   ,3室2厅,89.44平米,南,33,未知, 儿童公园 ,115,12858
南北通透格局好，双气，楼层好，地铁五六号线,永威鑫城   ,2室2厅,88.92平米,南 北,7,未知, 儿童公园 ,118,13271
万达旁 地铁口 2020年新小区 精装修三房,阳光城丽景公馆南苑   ,3室2厅,89.26平米,南,34,未知, 中原万达 ,113,12660
小区次新房，人车分流，税费少，适合居住,升龙天汇9号院   ,3室1厅,89.12平米,南,31,未知, 月季公园 ,105,11782
小区停车方便 户型设计合理 居住舒适 看房方便,桐柏路20号   ,3室1厅,84.62平米,南 北,4,未知, 郑州晚报社 ,120,14182
南北通透，位置安静，出入方便，诚心出售哈,郑州绿都城   ,3室2厅,89.06平米,南 北,5,未知, 中原万达 ,101,11341
一楼  门口位置  停车方便 两室朝南,中原西路215号院   ,2室2厅,81.79平米,南 北,8,未知, 郑州晚报社 ,117,14305
带车位  边户小三室  地铁口  全屋定制   精装三室房主自荐,和昌澜景   ,3室2厅,89平米,南 北,34,未知, 儿童公园 ,110,12360
和昌湾景国际 小高层 总层11层 户型方正,和昌湾景国际   ,3室1厅,89.27平米,南,11,未知, 儿童公园 ,110,12323
次新房小区，环境好，出行便利，业主诚心出售,永茂绿园   ,2室2厅,85.67平米,东南,28,未知, 五龙口 ,105,12257
2023年新小区 满二 精装拎包入住 户型方正 房间采光好,景悦城2号院   ,2室1厅,77.73平米,南,34,未知, 中原万达 ,105,13509
业主需要 回老家发展 急着出售 家人在老家工作稳定,华瑞紫韵星园   ,3室2厅,89.22平米,东南,30,未知, 中原万达 ,120,13450
五龙口 绿城绿园 绿城物业 人车分流 带车位 增20平,城开绿城绿园   ,3室2厅,88.86平米,南 北,32,未知, 五龙口 ,108,12154
1号线14号线双地铁，2018年次新精装三房，人车分流,紫韵丽园   ,3室2厅,88.71平米,西南,34,未知, 中原万达 ,110,12400
三环内 纯朝南全明户型，客厅带阳台,和昌澜景   ,3室2厅,88.99平米,南,30,未知, 儿童公园 ,112,12586
满五年 无抵押 小高层  乘坐方便  地铁五号线,中原新城王府东院   ,2室2厅,86.35平米,南,11,未知, 郑州一中 ,108,12508
农业路二环边，天誉龙邸精装纯南朝向两房，采光无遮挡,天誉龙邸南区   ,2室2厅,85.34平米,南,32,未知, 五龙口 ,103,12070
急售，金域世家边户两房精装好楼层拎包入住，看房方便房主自荐,正商金域世家   ,2室1厅,89.38平米,南 北,34,未知, 五龙口 ,100,11189
前后对花园的精装修小高层两居，急售省税，明厨明卫,保利百合   ,2室2厅,87.24平米,南,14,未知, 热电厂 ,108,12380
